ID,CALL,CN,TYPE
07395F39,Barton,PJT,Ground Station
07BAABAA,D-UMMY,BAA,Starship
06DD51EE,G-CFJM,Z12,LS 4
06DDAA2A,G-HAAH,V66,Ventus 2ct
06DDBAA8,G-OASW,MM,ASW27
06DDBB19,G-KEDK,Y2,Discus bT 
06DDBBC2,G-DFMG,VJ,Discus b
06DDBBC6,G-WYDE,461,ASW22
06DDBC62,G-DERS,319,ASW19
06DDD492,G-CJWA,C6,ASW 28
06DDD575,G-CMLO,FI,ASW 28E
06DDD57E,G-CKLA,KLA,ASK-13
06DDD587,G-CFEH,318,Pegase
06DDD5EE,G-CJPR,161,LS8-18
06DDD8B0,G-CVHT,A9,Ventus B
06DDD98C,G-CHNF,315,Duo Discus
06DDD9D7,G-KHER,CEH,Javelot
06DDDAC4,G-CFLE,314,Discus b
06DDDB73,G-CHSB,HSB,DG303
06DDDBBA,G-CJTY,JTY,LS8
06DDDD1F,G-LSKV,KV,LS8
06DDDFF0,G-KUGG,SG9,ASG 29e
06DDE24D,G-CJOV,J1M,ASW27
06DDE2F1,G-CKCZ,KCZ,ASK-21
06DDE2FC,G-CHNK,312,SZD-51 Junior
06DDE410,G-DESH,118,Pegase
06DDE4CA,G-CFRV,FRV,Pegase
06DDE4CE,G-CFTV,944,LS7
06DDE64E,G-DECZ,316,K21
06DDE68A,G-CFEJ,LC,Discus
06DDE986,G-DLOT,LOT,HPH Shark
06DDEA43,G-CLGU,Z3,ASW29
06DDEB29,G-ZZAJ,AJ,ASH 26
06DDEB36,G-CLGL,HA,Ventus 2C
06DDEBE0,G-TABB,GA,Ventus 2Cxt
06DDEC89,G-CKHD,T4,ASW 27
06DDEC95,G-GBPP,949,LS6c
06DDF934,G-OCGC,GC,DR400
06DDFA19,G-CKGA,370,Ventus 2cxt
06DDFAA4,G-CHEK,HEK,JUNIOR
06DF08E6,G-BHUU,UU,Pawnee
06DF08E8,G-BLGH,GH,DR300
06DF1088,G-DLTY,LTY,HPH Shark
063D2399,D-ELSR,SR,DR400
0A40E199,G-BHUU,UU,Pawnee
0A4020C5,G-BLGH,GH,DR300
06404EC4,G-CKMM,RM,ASW28
064054DD,G-CHZY,EN,LS 4
064056DA,G-CFEJ,LC,Discus
06405EB1,G-CJOV,J1M,ASW27
064063D5,G-KUGG,SG9,ASG 29e
