ID,CALL,CN,TYPE
06DD8C2C,G-AVXA,XA,PA25 Pawnee
0A4025B5,G-BFPR,PR,PA25 Pawnee
063D2399,D-ELSR,SR,DR400
07BAABAA,D-UMMY,BAA,Starship
0ADF08E6,G-BHUU,UU,PA-25 Pawnee
0A40E199,G-BHUU,UU,Pawnee
0ADF08D6,G-BLGH,GH,DR300
0A4020C5,G-BLGH,GH,DR300
06DDD587,G-CFEH,318,Pegase
06DDE68A,G-CFEJ,LC,Discus
054056DA,G-CFEJ,LC,Discus
06DD51EE,G-CFJM,Z12,LS 4
06DDDAC4,G-CFLE,314,Discus b
06DDE4CA,G-CFRV,FRV,Pegase
06DDE4CE,G-CFTV,944,LS-7
06DDD98C,G-CHNF,315,Duo Discus
06DDE2FC,G-CHNK,312,SZD-51 Junior
06DDDB73,G-CHSB,HSB,DG303
054054DD,G-CHZY,EN,LS 4
06405EB1,G-CJOV,J1M,ASW27
06DDE24D,G-CJOV,J1M,ASW27
06DDD5EE,G-CJPR,161,LS8-18
06DDDBBA,G-CJTY,JTY,LS8
06DDD492,G-CJWA,C6,ASW 28
06DDE2F1,G-CKCZ,KCZ,ASK-21
06DDFA19,G-CKGA,370,Ventus 2cxt
06DDEC89,G-CKHD,T4,ASW 27
06D00C96,G-CKJZ,DC,Discus bt
06DDD57E,G-CKLA,KLA,ASK-13
06404EC4,G-CKMM,RM,ASW28
06DDD436,G-CKSM,KSM,Duo Discus XLT
06DDEA43,G-CLGU,Z3,ASW29
06DDEB36,G-CLGL,HA,Ventus 2c
06DDD575,G-CMLO,FI,ASW 28E
06DDAA2A,G-DEBX,844,ASW20
06DDE64E,G-DECZ,316,ASK-21
06DDBC62,G-DERS,319,ASW19 B
06DDE410,G-DESH,118,Pegase
06D01043,G-DFFP,93,ASW19 B
06DDBBC2,G-DFMG,VJ,Discus b
06DDE986,G-DLOT,LOT,HPH Shark
06DF1088,G-DLTY,LTY,HPH 304S Shark
06DDEC95,G-GBPP,949,LS-6 18
06D00FFF,G-HAAH,V66,Ventus 2ct
06DDBB19,G-KEDK,Y2,Discus bT 
06DDD9D7,G-KHER,CEH,Javelot
06DDDFF0,G-KUGG,SG9,ASG 29e
064063D5,G-KUGG,SG9,ASG 29e
06DDDD1F,G-LSKV,KV,LS8
06DDBAA8,G-OASW,MM,ASW27
06DDAD2A,G-VCXT,HJ,Ventus 2cxt
06400C77,G-VCXT,HJ,Ventus 2cxt
06DDF997,G-CJBH,537,Pik20D
06DDEB29,G-ZZAJ,AJ,ASH 26
06DDE4CC,G-DHET,335,LS6c-18
054056D1,G-DDTM,DTM,DG200
